Tokenizer,Config,Chunk_Size,Overlap,Total_Tokens,Avg_Tokens_Per_Chunk,Std_Tokens_Per_Chunk,Compression_Ratio,Vocab_Utilization,Avg_Encoding_Time_ms
gpt2,100_0,100,0,944,26.22222222222222,7.706819170604372,3.7595338983050848,0.007839703921841733,0.17395946714613172
gpt2,100_50,100,50,1872,26.742857142857144,7.622683656196745,1.8958333333333333,0.008834590206339416,0.09701933179582868
gpt2,200_0,200,0,927,51.5,12.601807630477285,3.8284789644012944,0.007481544859422568,0.07683700985378689
gpt2,200_50,200,50,1223,50.958333333333336,13.740084808892394,2.901880621422731,0.007799908470461826,0.07361173629760742
gpt2,200_100,200,100,1823,52.08571428571429,12.456487531910954,1.9467910038398244,0.007978988001671409,0.07465907505580358
gpt2,300_0,300,0,924,77.0,16.06237840420901,3.840909090909091,0.0074019539566627535,0.13091166814168295
gpt2,300_50,300,50,1106,79.0,17.175564037317667,3.2088607594936707,0.007481544859422568,0.1045295170375279
gpt2,300_100,300,100,1378,76.55555555555556,17.895443933589547,2.5754716981132075,0.007581033487872336,0.109659300910102
gpt2,300_200,300,200,2648,77.88235294117646,16.806449577612884,1.3402567975830815,0.007919294824601549,0.10391543893253102
gpt2,500_0,500,0,918,114.75,45.04095358670818,3.866013071895425,0.007183078974073264,0.2288520336151123
gpt2,500_50,500,50,1014,126.75,25.508576988926684,3.5,0.007262669876833078,0.15670061111450195
gpt2,500_100,500,100,1133,125.88888888888889,25.752861521454463,3.1323918799646955,0.007262669876833078,0.15899870130750868
gpt2,500_200,500,200,1502,125.16666666666667,28.005455817671592,2.362849533954727,0.0074218516823527075,0.1550912857055664
gpt2,800_0,800,0,915,183.0,55.51216082985781,3.878688524590164,0.00716318124838331,0.21715164184570312
gpt2,800_50,800,50,963,192.6,42.92598280761898,3.6853582554517135,0.007202976699763217,0.25420188903808594
gpt2,800_100,800,100,1022,204.4,31.264036847470614,3.4726027397260273,0.007183078974073264,0.2471923828125
gpt2,800_200,800,200,1153,192.16666666666666,37.71567608067264,3.0780572419774503,0.007242772151143125,0.23317337036132812
gpt2,1000_0,1000,0,913,228.25,57.37322982018704,3.887185104052574,0.007083590345623495,0.2713203430175781
gpt2,1000_50,1000,50,948,237.0,43.46837931186301,3.7436708860759493,0.00716318124838331,0.30231475830078125
gpt2,1000_100,1000,100,998,249.5,37.339657202497186,3.556112224448898,0.007143283522693356,0.2905130386352539
gpt2,1000_200,1000,200,1119,223.8,69.83523465987639,3.1715817694369974,0.00716318124838331,0.32525062561035156
bert-base-uncased,100_0,100,0,895,24.86111111111111,4.922469895950935,3.96536312849162,0.010844636655527162,0.060717264811197914
bert-base-uncased,100_50,100,50,1789,25.557142857142857,4.725722059071168,1.9837898267188374,0.012581089050520937,0.04903248378208705
bert-base-uncased,200_0,200,0,843,46.833333333333336,6.256108126374486,4.209964412811388,0.010353187864491187,0.08422798580593532
bert-base-uncased,200_50,200,50,1117,46.541666666666664,8.621577420763687,3.1772605192479855,0.010975689666470088,0.08758902549743652
bert-base-uncased,200_100,200,100,1658,47.371428571428574,6.5338053418278355,2.140530759951749,0.010942926413734356,0.07931164332798549
bert-base-uncased,300_0,300,0,828,69.0,7.416198487095663,4.286231884057971,0.010254898106283992,0.12071927388509114
bert-base-uncased,300_50,300,50,986,70.42857142857143,7.871415607974806,3.599391480730223,0.010451477622698381,0.1195669174194336
bert-base-uncased,300_100,300,100,1240,68.88888888888889,10.923414651761645,2.8620967741935486,0.010451477622698381,0.1376469930013021
bert-base-uncased,300_200,300,200,2370,69.70588235294117,8.421015070030963,1.4974683544303797,0.010942926413734356,0.11562599855310778
bert-base-uncased,500_0,500,0,812,101.5,36.6435533211505,4.370689655172414,0.009960028831662407,0.16039609909057617
bert-base-uncased,500_50,500,50,898,112.25,10.997158723961386,3.9521158129175946,0.010156608348076798,0.17821788787841797
bert-base-uncased,500_100,500,100,1004,111.55555555555556,12.23938189353541,3.5348605577689245,0.009960028831662407,0.17510520087348092
bert-base-uncased,500_200,500,200,1324,110.33333333333333,16.448573055300436,2.680513595166163,0.010287661359019724,0.17223755518595377
bert-base-uncased,800_0,800,0,805,161.0,36.56774535024001,4.408695652173913,0.009960028831662407,0.24356842041015625
bert-base-uncased,800_50,800,50,847,169.4,24.137936945812086,4.190082644628099,0.010025555337133871,0.2532005310058594
bert-base-uncased,800_100,800,100,897,179.4,15.52546295606028,3.9565217391304346,0.009894502326190944,0.2688407897949219
bert-base-uncased,800_200,800,200,1013,168.83333333333334,20.763884243775028,3.5034550839091807,0.010091081842605334,0.2576907475789388
bert-base-uncased,1000_0,1000,0,801,200.25,41.90092481079624,4.430711610486892,0.00982897582071948,0.3070235252380371
bert-base-uncased,1000_50,1000,50,834,208.5,31.531730050855124,4.255395683453237,0.009927265578926675,0.315248966217041
bert-base-uncased,1000_100,1000,100,869,217.25,21.182244923520265,4.084004602991945,0.009861739073455212,0.3204941749572754
bert-base-uncased,1000_200,1000,200,986,197.2,52.8825112868139,3.599391480730223,0.009927265578926675,0.29816627502441406
t5-small,100_0,100,0,987,27.416666666666668,6.075337210577057,3.595744680851064,0.011277258566978194,0.08331404791937934
t5-small,100_50,100,50,1976,28.228571428571428,6.054918729126471,1.7960526315789473,0.01236760124610592,0.06284713745117188
t5-small,200_0,200,0,949,52.72222222222222,8.81794606694247,3.73972602739726,0.010996884735202493,0.09666548834906684
t5-small,200_50,200,50,1237,51.541666666666664,10.739254965882047,2.8690379951495553,0.011401869158878504,0.0909566879272461
t5-small,200_100,200,100,1852,52.91428571428571,9.021787686552177,1.9163066954643628,0.011401869158878504,0.09641647338867188
t5-small,300_0,300,0,927,77.25,10.059199769365355,3.8284789644012944,0.01102803738317757,0.1273949940999349
t5-small,300_50,300,50,1099,78.5,11.745819925160003,3.229299363057325,0.011090342679127726,0.131572995867048
t5-small,300_100,300,100,1390,77.22222222222223,13.93459147252523,2.5532374100719424,0.01102803738317757,0.132547484503852
t5-small,300_200,300,200,2661,78.26470588235294,11.642490191306639,1.3337091319052987,0.011370716510903427,0.1299170886769014
t5-small,500_0,500,0,910,113.75,42.58447487054408,3.9,0.010716510903426792,0.1831650733947754
t5-small,500_50,500,50,1010,126.25,15.473768125443783,3.513861386138614,0.01087227414330218,0.21913647651672363
t5-small,500_100,500,100,1127,125.22222222222223,17.20321531818836,3.1490683229813663,0.010778816199376947,0.1995563507080078
t5-small,500_200,500,200,1489,124.08333333333333,20.446916366261416,2.383478844862324,0.010934579439252336,0.1981655756632487
t5-small,800_0,800,0,908,181.6,43.352508577935836,3.908590308370044,0.010716510903426792,0.2875804901123047
t5-small,800_50,800,50,952,190.4,29.68905522242161,3.7279411764705883,0.010809968847352025,0.29778480529785156
t5-small,800_100,800,100,1005,201.0,19.91983935678197,3.5313432835820895,0.01074766355140187,0.33354759216308594
t5-small,800_200,800,200,1149,191.5,28.435599753360812,3.088772845953003,0.010809968847352025,0.30032793680826825
t5-small,1000_0,1000,0,902,225.5,48.41745553000488,3.934589800443459,0.010654205607476635,0.37544965744018555
t5-small,1000_50,1000,50,940,235.0,37.28940868396816,3.775531914893617,0.01074766355140187,0.3726482391357422
t5-small,1000_100,1000,100,979,244.75,27.105119442644042,3.6251276813074567,0.010685358255451713,0.3852248191833496
t5-small,1000_200,1000,200,1113,222.6,60.20166110665054,3.188679245283019,0.010716510903426792,0.353240966796875
